股票代码,股票名称,最新价格,涨跌幅(%),市盈率PE,市净率PB,总市值,板块类型,风险状态
600111,北方稀土,41.65,-0.9,54.984,5.885,150567492319,上交所主板,正常上市
600113,浙江东日,31.86,-0.47,95.504,5.241,13418688388,上交所主板,正常上市
600114,东睦股份,30.06,0.6,34.58,5.336,18979387319,上交所主板,正常上市
600115,中国东航,3.59,-0.55,79.693,5.623,79294974645,上交所主板,正常上市
600116,三峡水利,6.52,-0.31,26.422,1.102,12467171734,上交所主板,正常上市
600117,西宁特钢,2.25,-2.17,-7.3,2.128,7324008428,上交所主板,正常上市
600118,中国卫星,66.76,1.81,4656.548,12.498,78942974653,上交所主板,正常上市
600119,*ST长投,4.53,-1.74,-38.4,22.195,1654674776,上交所主板,*ST退市风险警示
600120,浙江东方,5.08,-0.59,18.735,1.058,17350137979,上交所主板,正常上市
600121,郑州煤电,3.97,-1.49,-4.563,6.589,4837095791,上交所主板,正常上市
600123,兰花科创,7.17,-0.28,-17.583,0.699,10563130951,上交所主板,正常上市
600125,铁龙物流,5.49,-0.54,13.296,0.914,7167315088,上交所主板,正常上市
600126,杭钢股份,7.08,-1.39,348.319,1.232,23910498708,上交所主板,正常上市
600127,金健米业,6.09,-0.49,-749.423,5.822,3908459798,上交所主板,正常上市
600128,苏豪弘业,8.25,-0.24,35.831,0.963,2076514275,上交所主板,正常上市
600129,太极集团,16.82,4.54,83.073,2.599,9274853872,上交所主板,正常上市
600130,波导股份,4.45,-0.67,582.454,3.67,3337500000,上交所主板,正常上市
600131,国网信通,15.69,-0.19,28.63,2.901,18780705147,上交所主板,正常上市
600132,重庆啤酒,43.62,-0.39,17.648,11.543,21110823657,上交所主板,正常上市
600133,东湖高新,8.5,-1.62,32.737,0.996,9063038938,上交所主板,正常上市
600135,乐凯胶片,7.5,-1.45,-44.215,1.762,4149803243,上交所主板,正常上市
600136,ST明诚,1.48,-1.99,-130.832,13.345,3020422378,上交所主板,ST风险警示
