代码,名称,综合共振标识,日K信号,日K得分,周K信号,周K得分,月K信号,月K得分
885781,石墨电极,🚀月K起爆 | 👑S级横盘,False,4.0,False,90.8,True,0.0
885748,可燃冰,🚀月K起爆 | 👑S级横盘,False,0.0,False,87.6,True,0.0
881159,贸易,🚀月K起爆 | 👑S级横盘,False,0.0,False,85.6,True,18.0
885428,特钢概念,🚀月K起爆 | 👑S级横盘,False,0.0,False,85.2,True,25.2
885398,煤化工概念,🚀月K起爆 | 📦A级洗盘,False,0.0,False,84.0,True,0.0
881263,农化制品,🚀月K起爆 | 📦A级洗盘,False,0.0,False,82.8,True,0.0
885782,水泥概念,🚀月K起爆 | 📦A级洗盘,False,0.0,False,81.6,True,16.4
886005,生物质能发电,🚀月K起爆 | 📦A级洗盘,False,0.0,False,80.4,True,0.0
885493,上海国企改革,🚀月K起爆 | 📦A级洗盘,False,28.0,False,77.2,True,0.0
881112,钢铁,🚀月K起爆 | 📦A级洗盘,False,0.0,False,68.0,True,17.2
885598,新股与次新股,🚀月K起爆 | 📦A级洗盘,True,46.4,False,62.4,True,32.0
881280,风电设备,🚀月K起爆 | 📦A级洗盘,True,30.0,False,62.0,True,0.0
885743,军民融合,🚀月K起爆 | 📦A级洗盘,False,2.8,False,60.8,True,0.0
885595,央企国企改革,🚀月K起爆 | 📦A级洗盘,False,0.0,False,60.8,True,0.0
881166,军工装备,🚀月K起爆 | 📦A级洗盘,True,26.4,False,60.4,True,0.0
881276,军工电子,🚀月K起爆,False,18.4,False,56.4,True,0.0
881274,影视院线,🚀月K起爆,False,25.6,False,53.2,True,0.0
881125,汽车整车,🚀月K起爆,False,0.0,False,46.0,True,0.0
881271,IT服务,🚀月K起爆,False,0.8,False,42.0,True,0.0
885874,云游戏,🚀月K起爆,False,0.0,False,20.8,True,0.0
881264,化学纤维,🚀月K起爆,False,0.0,False,0.0,True,0.0
885935,抽水蓄能,🚀月K起爆,False,35.2,False,0.0,True,0.0
886039,ERP概念,👑S级横盘,False,0.0,False,89.2,False,0.0
885980,华为鲲鹏,👑S级横盘,False,0.0,False,87.6,False,0.0
885974,两轮车,👑S级横盘,False,0.0,False,87.6,False,0.0
885768,无人零售,👑S级横盘,False,0.0,False,86.0,False,0.0
885964,俄乌冲突概念,👑S级横盘,False,0.0,False,85.6,False,0.0
885457,手机游戏,👑S级横盘,False,26.4,False,85.6,False,0.0
886041,数据要素,👑S级横盘,False,0.0,False,85.2,False,0.0
885894,海南自贸区,📦A级洗盘,False,0.0,False,84.4,False,7.2
881269,轨交设备,📦A级洗盘,False,0.0,False,84.0,False,0.0
885480,在线教育,📦A级洗盘,False,0.0,False,84.0,False,0.0
885430,天然气,📦A级洗盘,False,0.0,False,83.6,False,0.0
885456,互联网金融,📦A级洗盘,False,22.0,False,83.2,False,0.0
881173,小家电,📦A级洗盘,False,0.0,False,81.6,False,0.0
885699,ST板块,📦A级洗盘,False,0.0,False,81.6,False,0.0
881128,汽车服务及其他,📦A级洗盘,False,0.0,False,81.2,False,19.2
881266,橡胶制品,📦A级洗盘,False,0.0,False,81.2,False,0.0
885835,参股银行,📦A级洗盘,False,0.0,False,81.2,False,0.0
