代码,名称,共振级别,周K信号,月K信号
600499,科达制造,🔥 周月双启,True,True
600501,航天晨光,🚀 月K单启,False,True
600507,方大特钢,🚀 月K单启,False,True
600509,天富能源,📈 周K单启,True,False
600510,黑牡丹,🚀 月K单启,False,True
600512,腾达建设,🚀 月K单启,False,True
600513,联环药业,🚀 月K单启,False,True
600516,方大炭素,🔥 周月双启,True,True
600517,国网英大,🚀 月K单启,False,True
600526,菲达环保,🚀 月K单启,False,True
600531,豫光金铅,🚀 月K单启,False,True
600533,栖霞建设,🚀 月K单启,False,True
600545,卓郎智能,📈 周K单启,True,False
600547,山东黄金,🚀 月K单启,False,True
600549,厦门钨业,📈 周K单启,True,False
600551,时代出版,🚀 月K单启,False,True
600556,天下秀,🚀 月K单启,False,True
600558,大西洋,🚀 月K单启,False,True
600559,老白干酒,🚀 月K单启,False,True
600560,金自天正,🚀 月K单启,False,True
600562,国睿科技,🚀 月K单启,False,True
600563,法拉电子,📈 周K单启,True,False
600570,恒生电子,🚀 月K单启,False,True
600571,信雅达,🚀 月K单启,False,True
600577,精达股份,🔥 周月双启,True,True
600583,海油工程,🚀 月K单启,False,True
600585,海螺水泥,🚀 月K单启,False,True
600586,金晶科技,🚀 月K单启,False,True
600588,用友网络,🚀 月K单启,False,True
600592,龙溪股份,🚀 月K单启,False,True
600594,益佰制药,🚀 月K单启,False,True
600595,中孚实业,🚀 月K单启,False,True
600596,新安股份,📈 周K单启,True,False
600601,方正科技,📈 周K单启,True,False
600603,广汇物流,🚀 月K单启,False,True
600604,市北高新,🚀 月K单启,False,True
600609,金杯汽车,🚀 月K单启,False,True
600610,中毅达,🚀 月K单启,False,True
600613,神奇制药,🚀 月K单启,False,True
600615,鑫源智造,🚀 月K单启,False,True
600616,金枫酒业,🚀 月K单启,False,True
600618,氯碱化工,🚀 月K单启,False,True
600620,天宸股份,🚀 月K单启,False,True
600621,华鑫股份,🚀 月K单启,False,True
600626,申达股份,🚀 月K单启,False,True
600628,新世界,🚀 月K单启,False,True
600629,华建集团,🚀 月K单启,False,True
600633,浙数文化,🚀 月K单启,False,True
600635,大众公用,🚀 月K单启,False,True
600637,东方明珠,🚀 月K单启,False,True
600638,新黄浦,🚀 月K单启,False,True
600640,国脉文化,🚀 月K单启,False,True
600641,先导基电,📈 周K单启,True,False
600643,爱建集团,🚀 月K单启,False,True
600648,外高桥,🚀 月K单启,False,True
600649,城投控股,🚀 月K单启,False,True
600650,锦江在线,🚀 月K单启,False,True
600654,中安科,🚀 月K单启,False,True
600655,豫园股份,🚀 月K单启,False,True
600657,信达地产,🚀 月K单启,False,True
600661,昂立教育,🚀 月K单启,False,True
600665,天地源,🚀 月K单启,False,True
600667,太极实业,📈 周K单启,True,False
600668,尖峰集团,🚀 月K单启,False,True
600675,中华企业,🚀 月K单启,False,True
600683,京投发展,📈 周K单启,True,False
600684,珠江股份,🚀 月K单启,False,True
600685,中船防务,🚀 月K单启,False,True
600688,上海石化,🚀 月K单启,False,True
600689,上海三毛,🚀 月K单启,False,True
600690,海尔智家,🚀 月K单启,False,True
600691,潞化科技,🚀 月K单启,False,True
600697,欧亚集团,🚀 月K单启,False,True
600698,湖南天雁,🚀 月K单启,False,True
600699,均胜电子,🚀 月K单启,False,True
600703,三安光电,📈 周K单启,True,False
600704,物产中大,🚀 月K单启,False,True
600711,盛屯矿业,🚀 月K单启,False,True
600712,南宁百货,🚀 月K单启,False,True
600715,文投控股,🚀 月K单启,False,True
600716,凤凰股份,🚀 月K单启,False,True
600718,东软集团,🚀 月K单启,False,True
600719,大连热电,📈 周K单启,True,False
600721,百花医药,🚀 月K单启,False,True
600725,云维股份,🚀 月K单启,False,True
600728,佳都科技,🚀 月K单启,False,True
600729,重百集团,🚀 月K单启,False,True
600731,湖南海利,🚀 月K单启,False,True
600738,丽尚国潮,🚀 月K单启,False,True
600742,富维股份,🚀 月K单启,False,True
600748,上实发展,🚀 月K单启,False,True
600749,西藏旅游,🚀 月K单启,False,True
600751,海航科技,🚀 月K单启,False,True
600754,锦江酒店,🚀 月K单启,False,True
600756,浪潮软件,🚀 月K单启,False,True
600757,长江传媒,🚀 月K单启,False,True
600760,中航沈飞,🚀 月K单启,False,True
600764,中国海防,🚀 月K单启,False,True
600765,中航重机,🚀 月K单启,False,True
600771,广誉远,🚀 月K单启,False,True
600773,西藏城投,🔥 周月双启,True,True
600774,汉商集团,🚀 月K单启,False,True
600776,东方通信,🚀 月K单启,False,True
600778,友好集团,🚀 月K单启,False,True
600782,新钢股份,🚀 月K单启,False,True
600785,新华百货,🚀 月K单启,False,True
600791,京能置业,📈 周K单启,True,False
600793,宜宾纸业,🚀 月K单启,False,True
600794,保税科技,🚀 月K单启,False,True
600796,钱江生化,🚀 月K单启,False,True
600797,浙大网新,🚀 月K单启,False,True
600798,宁波海运,🚀 月K单启,False,True
600802,福建水泥,🚀 月K单启,False,True
600803,新奥股份,🚀 月K单启,False,True
600805,悦达投资,🚀 月K单启,False,True
600807,济高发展,🚀 月K单启,False,True
600808,马钢股份,🚀 月K单启,False,True
600810,神马股份,🚀 月K单启,False,True
600812,华北制药,🚀 月K单启,False,True
600814,杭州解百,🚀 月K单启,False,True
600817,宇通重工,🚀 月K单启,False,True
600819,耀皮玻璃,🚀 月K单启,False,True
600820,隧道股份,🚀 月K单启,False,True
600821,金开新能,🚀 月K单启,False,True
600825,新华传媒,🚀 月K单启,False,True
600826,兰生股份,🚀 月K单启,False,True
600830,香溢融通,🚀 月K单启,False,True
600831,广电网络,🚀 月K单启,False,True
600833,第一医药,🚀 月K单启,False,True
600835,上海机电,🚀 月K单启,False,True
600838,上海九百,🚀 月K单启,False,True
600839,四川长虹,🚀 月K单启,False,True
600841,动力新科,🚀 月K单启,False,True
600846,XD同济科,🚀 月K单启,False,True
600850,电科数字,🚀 月K单启,False,True
600853,龙建股份,🚀 月K单启,False,True
600855,航天长峰,🚀 月K单启,False,True
600858,银座股份,🚀 月K单启,False,True
600859,王府井,🚀 月K单启,False,True
600860,京城股份,🚀 月K单启,False,True
600861,北京人力,🚀 月K单启,False,True
600862,中航高科,🔥 周月双启,True,True
600864,哈投股份,🚀 月K单启,False,True
600866,星湖科技,🚀 月K单启,False,True
600868,梅雁吉祥,🚀 月K单启,False,True
600869,远东股份,📈 周K单启,True,False
600871,石化油服,🚀 月K单启,False,True
600874,创业环保,🚀 月K单启,False,True
600876,凯盛新能,🚀 月K单启,False,True
600880,博瑞传播,🚀 月K单启,False,True
600888,新疆众和,📈 周K单启,True,False
600893,航发动力,🚀 月K单启,False,True
600908,无锡银行,🚀 月K单启,False,True
600909,华安证券,📈 周K单启,True,False
600955,维远股份,🚀 月K单启,False,True
600958,东方证券,🚀 月K单启,False,True
600961,株冶集团,📈 周K单启,True,False
600999,招商证券,📈 周K单启,True,False
601012,隆基绿能,🚀 月K单启,False,True
601019,山东出版,🚀 月K单启,False,True
601066,XD中信建,📈 周K单启,True,False
601065,江盐集团,🚀 月K单启,False,True
601068,中铝国际,🚀 月K单启,False,True
601106,中国一重,🚀 月K单启,False,True
601116,三江购物,🚀 月K单启,False,True
601113,华鼎股份,🚀 月K单启,False,True
601118,海南橡胶,🚀 月K单启,False,True
601127,赛力斯,🚀 月K单启,False,True
601138,工业富联,📈 周K单启,True,False
601155,新城控股,🚀 月K单启,False,True
601166,兴业银行,🚀 月K单启,False,True
601186,中国铁建,🚀 月K单启,False,True
601208,东材科技,📈 周K单启,True,False
601211,国泰海通,🚀 月K单启,False,True
601212,白银有色,🚀 月K单启,False,True
601218,吉鑫科技,🚀 月K单启,False,True
601226,华电科工,🚀 月K单启,False,True
601229,上海银行,🚀 月K单启,False,True
601298,青岛港,📈 周K单启,True,False
601311,骆驼股份,🚀 月K单启,False,True
601326,秦港股份,🚀 月K单启,False,True
601328,交通银行,🚀 月K单启,False,True
601330,绿色动力,🚀 月K单启,False,True
601512,中新集团,🚀 月K单启,False,True
